,Open,GBM_lower_bound,GBM_upper_bound,Year,Month,Day,Close
217,19427.1,19263.875099408808,19626.75169480521,2023,7,11,19439.40
218,19400.35,19248.09868681338,19624.346244848737,2023,7,10,19355.90
219,19422.8,19252.057735757622,19619.69425522358,2023,7,7,19331.80
220,19385.7,19194.797807605617,19591.811593932296,2023,7,6,19497.30
221,19405.95,19240.817085130973,19614.83922717134,2023,7,5,19398.50
222,19406.6,19230.541596311425,19589.91566519657,2023,7,4,19389.00
223,19246.5,19079.203011796122,19466.375716166353,2023,7,3,19322.55
224,19076.85,18883.366154615025,19272.020642558447,2023,6,30,19189.05
225,18908.15,18739.12140661955,19096.236348620794,2023,6,28,18972.10
226,18748.55,18593.024518203212,18952.511243541132,2023,6,27,18817.40
227,18682.35,18506.65702233624,18866.355247919055,2023,6,26,18691.20
228,18741.85,18566.540089664006,18930.89083582879,2023,6,23,18665.50
229,18853.6,18659.409682135825,19030.14003579758,2023,6,22,18771.25
230,18849.4,18654.37295989665,19017.728422628046,2023,6,21,18856.85
231,18752.35,18579.5524602799,18939.896716661173,2023,6,20,18816.70
232,18873.3,18667.86237494252,19035.334852793767,2023,6,19,18755.45
233,18723.3,18545.169636615406,18912.41704797251,2023,6,16,18826.00
234,18774.45,18595.240944819387,18982.9295599925,2023,6,15,18688.10
235,18744.6,18558.786035004126,18907.57593610221,2023,6,14,18755.90
236,18631.8,18451.856806689237,18819.05348097133,2023,6,13,18716.15
237,18595.05,18407.16003929439,18784.022237650257,2023,6,12,18601.50
238,18655.9,18469.46465150963,18838.64727116273,2023,6,9,18563.40
239,18725.35,18541.62030168555,18903.888815077684,2023,6,8,18634.55
240,18665.6,18519.710042696024,18878.438435964676,2023,6,7,18726.40
241,18600.8,18432.838273393914,18801.18390267705,2023,6,6,18599.00
242,18612.0,18387.564702258183,18776.827345581147,2023,6,5,18593.85
243,18550.85,18381.307432702873,18760.02238063568,2023,6,2,18534.10
244,18579.4,18428.29730626391,18782.982572633417,2023,6,1,18487.75
245,18594.2,18423.12538251974,18773.885274003747,2023,5,31,18534.40
246,18606.65,18425.31893621704,18796.5280711857,2023,5,30,18633.85
247,18619.15,18430.05806539387,18802.762701069067,2023,5,29,18598.65
248,18368.35,18207.274590037818,18573.543872122882,2023,5,26,18499.35
249,18268.9,18085.256974572538,18441.71394783354,2023,5,25,18321.15
250,18294.8,18141.933615273203,18495.857771145962,2023,5,24,18285.40
251,18362.9,18158.81691632612,18534.240346162722,2023,5,23,18348.00
252,18201.1,18018.544947293904,18373.945295338763,2023,5,22,18314.40
253,18186.15,17999.374450553,18359.754260405363,2023,5,19,18203.40
254,18287.5,18093.83467489661,18450.62197584413,2023,5,18,18129.95
255,18300.45,18130.467793502965,18490.03001633748,2023,5,17,18181.75
256,18432.35,18258.915218137317,18621.171046077594,2023,5,16,18286.50
257,18339.3,18179.856277332685,18542.142684335566,2023,5,15,18398.85
258,18273.75,18115.39386516642,18451.02463763651,2023,5,12,18314.80
259,18357.8,18194.70604793943,18532.44648105607,2023,5,11,18297.00
260,18313.6,18133.111818571477,18495.42786344359,2023,5,10,18315.10
261,18303.4,18122.606452500386,18466.83401370236,2023,5,9,18265.95
262,18120.6,17931.095725941752,18277.28819266654,2023,5,8,18264.40
263,18117.3,17937.343890451808,18294.640859974475,2023,5,5,18069.00
264,18081.0,17901.58845841986,18250.89274566747,2023,5,4,18255.80
265,18113.8,17928.248359433717,18277.13312976401,2023,5,3,18089.85
266,18124.8,17946.492220133696,18316.64047058359,2023,5,2,18147.65
267,17950.4,17782.39879716927,18135.04631803922,2023,4,28,18065.00
268,17813.1,17637.91660928824,17974.234673685074,2023,4,27,17915.05
269,17767.3,17612.524526254896,17960.67058310861,2023,4,26,17813.60
270,17761.55,17597.702417229728,17939.359151009638,2023,4,25,17769.25
271,17707.55,17521.046127691585,17870.479168924277,2023,4,24,17743.40
272,17639.75,17466.36901678505,17827.273032468016,2023,4,21,17624.05
273,17638.6,17485.11232459073,17837.05813934871,2023,4,20,17624.45
274,17653.35,17475.496332078375,17829.49824511197,2023,4,19,17618.75
275,17766.6,17598.43894911723,17955.249834611343,2023,4,18,17660.15
276,17863.0,17669.174021992556,18034.860238416502,2023,4,17,17706.85
277,17807.3,17649.027598306056,18005.583988710037,2023,4,13,17828.00
278,17759.55,17595.042424425028,17942.93159641118,2023,4,12,17812.40
279,17704.8,17530.723622301673,17874.996338306366,2023,4,11,17722.30
280,17634.9,17483.69122301083,17816.73579270196,2023,4,10,17624.05
281,17533.85,17361.16996692966,17695.59839700759,2023,4,6,17599.15
282,17422.3,17259.67922660326,17597.272529295882,2023,4,5,17557.05
283,17427.95,17265.38912672159,17605.636984142267,2023,4,3,17398.05
284,17210.35,17038.291439919627,17398.05223225905,2023,3,31,17359.75
285,16977.3,16801.095753338806,17152.35990561189,2023,3,29,17080.70
286,17031.75,16866.27132255678,17190.076542777704,2023,3,28,16951.70
287,16984.3,16823.016770288625,17155.391502702976,2023,3,27,16985.70
288,17076.2,16919.232519501977,17253.013933288188,2023,3,24,16945.05
289,17097.4,16952.87408654254,17289.828279771587,2023,3,23,17076.90
290,17177.45,17017.98929370285,17348.82088592676,2023,3,22,17151.90
291,17060.4,16888.44483919,17242.795189797715,2023,3,21,17107.50
292,17066.6,16900.038171560398,17231.728658857304,2023,3,20,16988.40
293,17111.8,16918.44735868223,17279.51854568293,2023,3,17,17100.05
294,16994.65,16825.002319742096,17156.17338901128,2023,3,16,16985.60
295,17166.45,16992.836736292775,17350.262150910436,2023,3,15,16972.15
296,17160.55,16979.63644222326,17326.04815084404,2023,3,14,17043.30
297,17421.9,17228.566769521065,17580.26537031848,2023,3,13,17154.30
298,17443.8,17287.710789699926,17624.564476976342,2023,3,10,17412.90
299,17772.05,17603.436694418466,17943.34336008952,2023,3,9,17589.60
300,17665.75,17510.056674784773,17847.94649338843,2023,3,8,17754.40
301,17680.35,17482.207266305537,17837.406135272016,2023,3,6,17711.45
302,17451.25,17275.831810435466,17621.160036235695,2023,3,3,17594.35
303,17421.5,17263.025368172304,17591.532374667717,2023,3,2,17321.90
304,17360.1,17197.12821018944,17534.199409517943,2023,3,1,17450.90
305,17383.25,17231.002505918525,17582.789820747774,2023,2,28,17303.95
306,17428.6,17239.44822540078,17585.46487765761,2023,2,27,17392.70
307,17591.35,17437.033852793218,17784.82317793778,2023,2,24,17465.80
308,17574.65,17416.90922079809,17744.018307125923,2023,2,23,17511.25
309,17755.35,17567.567468996574,17914.5657088959,2023,2,22,17554.30
310,17905.8,17714.982269271328,18072.161670366604,2023,2,21,17826.70
311,17965.55,17802.480773656385,18147.579155261177,2023,2,20,17844.60
312,17974.85,17805.851520706325,18162.150586061216,2023,2,17,17944.20
313,18094.75,17930.181819348374,18294.959340011956,2023,2,16,18035.85
314,17896.6,17753.960163437478,18113.41826768112,2023,2,15,18015.85
315,17840.35,17687.190742027724,18039.124230363843,2023,2,14,17929.85
316,17859.1,17703.947802230072,18042.56330693124,2023,2,13,17770.90
317,17847.55,17689.180883315195,18036.14025978098,2023,2,10,17856.50
318,17885.5,17728.906991387063,18063.990633571404,2023,2,9,17893.45
319,17750.3,17547.079778996103,17913.60750442822,2023,2,8,17871.70
320,17790.1,17619.27310617132,17954.94471282549,2023,2,7,17721.50
321,17818.55,17625.784139885414,18001.68586671916,2023,2,6,17764.60
322,17721.75,17552.978152157226,17908.121814390706,2023,2,3,17854.05
323,17517.1,17342.54132666131,17710.138065148683,2023,2,2,17610.40
324,17811.6,17632.666887540763,17963.488676893296,2023,2,1,17616.30
325,17731.45,17538.390592371943,17899.141231039517,2023,1,31,17662.15
326,17541.95,17365.54624905262,17723.306485420002,2023,1,30,17648.95
327,17877.2,17722.271280284782,18079.902210380864,2023,1,27,17604.35
328,18093.35,17895.842675035994,18262.70553556589,2023,1,25,17891.95
329,18183.95,17990.580322915866,18357.008997084362,2023,1,24,18118.30
330,18118.45,17963.74499735911,18307.771724937065,2023,1,23,18118.55
331,18115.6,17964.634371487802,18323.133041640587,2023,1,20,18027.65
332,18119.8,17961.155016672845,18293.734336247122,2023,1,19,18107.85
333,18074.3,17944.002581111872,18311.50627333553,2023,1,18,18165.35
334,17922.8,17752.763563934353,18107.743205961768,2023,1,17,18053.30
